ConferenceName,Date,Role,GeneralRole,Location,link,sortDate,type
,February 2024,ACL Rolling Review,Action Editor,,,2/1/2024,ACL 2024
Annual Meeting of the Association for Computational Linguistics (ACL),August 2024,Program Committee Member,Reviewer,"Bangkok, Thailand",,8/1/2024,Student Research Workshop
CRA Career Mentoring Workshops (CMW),"February 20-23, 2024",Conference Attendee,Attendee,"Washington, D.C.",,2/20/2024,
IEEE Transactions on Games,2023,Journal Reviewer,Reviewer,,,10/1/2023,
AAAI Conference on Artificial Intelligence (AAAI),"February 20-27, 2024",Program Committee Member,Reviewer,"Vancouver, Canada",,2/1/2024,Undergraduate Consortium
,December 2023,ACL Rolling Review,Action Editor,,,10/1/2023,NAACL 2024
,October 2023,ACL Rolling Review,Action Editor,,,10/1/2023,EACL 2024
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"October 8-12, 2023",Session Chair,Chair,"Salt Lake City, UT",,10/8/2023,
,August 2023,ACL Rolling Review,Action Editor,,,8/1/2023,
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"October 8-12, 2023",Program Committee Member,Reviewer,"Salt Lake City, UT",,10/8/2023,Research Track
International Conference on Natural Language Generation (INLG),"September 11-15, 2023",Area Chair,Chair,"Prague, Czechia",,9/11/2023,
Annual Meeting of the Association for Computational Linguistics (ACL),"July 10-12, 2023",Program Committee Member,Reviewer,"Toronto, Canada",,7/10/2023,Student Research Workshop
,April 2023,ACL Rolling Review,Action Editor,,,4/1/2023,
4th Wordplay: When Language Meets Games Workshop at ACL 2024,August 2024,Co-Organizer,Organizer,"Bangkok, Thailand",https://wordplay-workshop.github.io,8/12/2024,
,December 2022,ACL Rolling Review,Action Editor,,,12/1/2022,
,October 2022,ACL Rolling Review,Reviewer,,,10/1/2022,
,July 2022,ACL Rolling Review,Reviewer,,,7/1/2022,
Conference on Empirical Methods in Natural Language Processing (EMNLP),"December 7-11, 2022",Program Committee Member,Reviewer,"Abu Dhabi, UAE",,12/7/2022,Dialogue and Interactive Systems Track
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"October 24-28, 2022",Program Committee Member,Reviewer,"Pomona, CA",,10/24/2022,Software Track
ACM Conference on Creativity \& Cognition (C\&C),"June 20-23, 2022",Program Committee Member,Reviewer,"Venice, Italy",,6/20/2022,Posters Track
,April 2022,ACL Rolling Review,Reviewer,,,4/1/2022,
