ConferenceName,Date,Role,GeneralRole,Location,link,sortDate,type
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"November 10-14, 2025",Program Committee Member,Reviewer,"Edmonton, Canada",,2025-11-10,
International Joint Conference on Natural Language Processing \& Asia-Pacific Chapter of the Association for Computational Linguistics (IJCNLP-AACL),"December 20-24, 2025",Program Committee Member,Reviewer,"Mumbai, India",,2025-12-20,Student Research Workshop (SRW) Mentor
International Conference on Natural Language Generation (INLG),"October 29-November 2, 2025",Area Chair,Chair,"Hanoi, Vietnam",,2025-10-29,
"AAAI/ACM Conference on AI, Ethics, and Society (AIES)","October 20-22, 2025",Program Committee Member,Reviewer,"Madrid, Spain",,2025-10-20,
Conference on Empirical Methods in Natural Language Processing (EMNLP),May 2025,ACL Rolling Review,Senior Area Chair,"Suzhou, China",,2025-11-05,EMNLP 2025
Annual Meeting of the Association for Computational Linguistics (ACL),March 2025,ACL Rolling Review,Reviewer,"Vienna, Austria",,2025-07-01,ACL 2025
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"November 10-14, 2025",Ethics Chair,Organizer,"Edmonton, Canada",https://sites.google.com/ualberta.ca/aiide2025/home,2025-11-10,
National Science Foundation (IIS),2025,Reviewer,GrantReview,,,2025-03-01,
Deutsche Forschungsgemeinschaft,2025,Reviewer,GrantReview,,,2025-02-01,
National Science Foundation,2025,Reviewer,GrantReview,,,2025-01-01,
5th Wordplay: When Language Meets Games Workshop at EMNLP 2025,"November 9, 2025",Co-Organizer,Organizer,"Suzhou, China",https://wordplay-workshop.github.io,2025-11-09,
IEEE Transactions on Games,2024,Journal Reviewer,Reviewer,,,2025-11-06,
Computational Models of Narrative Workshop,"May 28-30, 2025",Program Committee Member,Reviewer,"Geneva, Switzerland",,2025-11-07,
IEEE Transactions on Games: Special Issue on Large Language Models and Games,May 2025,Guest Editor,Organizer,,https://transactions.games/special-issue/special-issue-on-large-language-models-and-games,2025-11-08,
International Conference on Natural Language Generation (INLG),"September 23-27, 2024",Program Committee Member,Reviewer,"Tokyo, Japan",,2024-11-09,
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"November 18-22, 2024",Program Committee Member,Reviewer,"Lexington, KY",,2024-11-24,Doctoral Consortium
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"November 18-22, 2024",Ethics \& Conference Experience Chair,Organizer,"Lexington, KY",https://sites.google.com/gcloud.utah.edu/aiide-2024/home,2024-11-11,
Annual Symposium on Computer-Human Interaction in Play (CHI PLAY),"October 14-17, 2024",Program Committee Member,Reviewer,"Tampere, Finland",,2024-10-14,
,February 2024,ACL Rolling Review,Area Chair,,,2024-02-01,ACL 2024
Annual Meeting of the Association for Computational Linguistics (ACL),"August 11-16, 2024",Program Committee Member,Reviewer,"Bangkok, Thailand",,2024-08-11,Student Research Workshop
CRA Career Mentoring Workshops (CMW),"February 20-23, 2024",Conference Attendee,Attendee,"Washington, D.C.",,2024-02-20,
IEEE Transactions on Games,2023,Journal Reviewer,Reviewer,,,2023-01-01,
AAAI Conference on Artificial Intelligence (AAAI),"February 20-27, 2024",Program Committee Member,Reviewer,"Vancouver, Canada",,2024-02-20,Undergraduate Consortium
,December 2023,ACL Rolling Review,Area Chair,,,2023-12-01,NAACL 2024
,October 2023,ACL Rolling Review,Area Chair,,,2023-10-01,EACL 2024
