ProjectName,Date,Role,Location,Description1,Link
CMSC 491/691 Interactive Fiction and Text Generation,Fall 2025,Instructor of Record,University of Maryland Baltimore County,,https://laramartin.net/interactive-fiction-class/
CMSC 473/673 Natural Language Processing,Spring 2025,Instructor of Record,University of Maryland Baltimore County,,https://laramartin.net/NLP-class/
CMSC 491/691 Interactive Fiction and Text Generation,Fall 2024,Instructor of Record,University of Maryland Baltimore County,,https://laramartin.net/interactive-fiction-class/2024/
CMSC 473/673 Natural Language Processing,Spring 2024,Instructor of Record,University of Maryland Baltimore County,,https://laramartin.net/NLP-class/2024/
CMSC 671 Principles of Artificial Intelligence,Fall 2023,Instructor of Record,University of Maryland Baltimore County,,https://laramartin.net/Principles-of-AI/
CIS 700 Interactive Fiction and Text Generation,Spring 2022,Co-Instructor,University of Pennsylvania,Co-taught with Dr. Chris Callison-Burch,https://interactive-fiction-class.org/2022/
Clarks Scholars Summer Python Bootcamp,Summer 2019,Course Materials,Georgia Institute of Technology,Co-created syllabus/lesson plan with Dr. Cassandra Kent,
CS 3790 Introduction to Cognitive Science,Summer 2018,Instructor of Record,Georgia Institute of Technology,,
%Tech Camp at Bridge Academy,Summer 2016,Volunteer,Georgia Institute of Technology,,
%Women@SCS Club \& SCS4All Club for Promoting Diversity and Understanding in Computing,2013-2015,Volunteer Instructor for Middle Schoolers,Carnegie Mellon University,,
%Douglass-DIMACS Computing Corps,2012-2013,Volunteer Instructor for Middle Schoolers,Rutgers University,,
